Animation | rbxassetid://13080725587
Animation | rbxassetid://13080723654
Animation | rbxassetid://13080721207
IdleAnim | rbxassetid://180435571
IdleAnim | rbxassetid://180435571
Animation1 | rbxassetid://180435571
Animation2 | rbxassetid://180435571
WalkAnim | rbxassetid://13076726811
RunAnim | rbxassetid://13076726811
JumpAnim | rbxassetid://13076725138
ClimbAnim | http://www.roblox.com/asset/?id=180436334
ToolNoneAnim | http://www.roblox.com/asset/?id=182393478
FallAnim | rbxassetid://13156241683
SitAnim | http://www.roblox.com/asset/?id=178130996
Animation | rbxassetid://14401948904
Animation | rbxassetid://18709292803
Animation1 | http://www.roblox.com/asset/?id=180435571
Animation2 | http://www.roblox.com/asset/?id=180435792
WalkAnim | http://www.roblox.com/asset/?id=180426354
RunAnim | http://www.roblox.com/asset/?id=180426354
JumpAnim | http://www.roblox.com/asset/?id=125750702
ClimbAnim | http://www.roblox.com/asset/?id=180436334
ToolNoneAnim | http://www.roblox.com/asset/?id=182393478
FallAnim | http://www.roblox.com/asset/?id=180436148
SitAnim | http://www.roblox.com/asset/?id=178130996
Animation1 | http://www.roblox.com/asset/?id=180435571
Animation2 | http://www.roblox.com/asset/?id=180435792
WalkAnim | http://www.roblox.com/asset/?id=180426354
RunAnim | http://www.roblox.com/asset/?id=180426354
JumpAnim | http://www.roblox.com/asset/?id=125750702
ClimbAnim | http://www.roblox.com/asset/?id=180436334
ToolNoneAnim | http://www.roblox.com/asset/?id=182393478
FallAnim | http://www.roblox.com/asset/?id=180436148
SitAnim | http://www.roblox.com/asset/?id=178130996
Animation | rbxassetid://127914425394952
Animation1 | rbxassetid://180435571
Animation2 | rbxassetid://180435571
WalkAnim | rbxassetid://13076726811
RunAnim | rbxassetid://13076726811
JumpAnim | rbxassetid://13076725138
ClimbAnim | http://www.roblox.com/asset/?id=180436334
ToolNoneAnim | http://www.roblox.com/asset/?id=182393478
FallAnim | rbxassetid://13156241683
SitAnim | http://www.roblox.com/asset/?id=178130996
Animation1 | http://www.roblox.com/asset/?id=180435571
